timestamp,RV,r
2016-08-26 00:00:00+00:00,0.001030416,-0.005305052
2016-08-27 00:00:00+00:00,0.000626861,-0.008904778
2016-08-28 00:00:00+00:00,0.000755125,-0.015322517
2016-08-29 00:00:00+00:00,0.000990174,-0.005464494
2016-08-30 00:00:00+00:00,0.001214384,0.023466781
2016-08-31 00:00:00+00:00,0.000957451,0.042782605
2016-09-01 00:00:00+00:00,0.002413257,0.029475818
2016-09-02 00:00:00+00:00,0.001207909,0.00826451
2016-09-03 00:00:00+00:00,0.003649164,-0.022472856
2016-09-04 00:00:00+00:00,0.001062277,-0.009302393
2016-09-05 00:00:00+00:00,0.001085904,-0.000849979
2016-09-06 00:00:00+00:00,0.001219214,-0.004260765
2016-09-07 00:00:00+00:00,0.000943879,-0.011163705
2016-09-08 00:00:00+00:00,0.001203299,-0.016543695
2016-09-09 00:00:00+00:00,0.000866573,0.021711665
2016-09-10 00:00:00+00:00,0.000849943,0.047807846
2016-09-11 00:00:00+00:00,0.001319675,-0.046949108
2016-09-12 00:00:00+00:00,0.000776123,0.017865214
2016-09-13 00:00:00+00:00,0.000787392,0.005046268
2016-09-14 00:00:00+00:00,0.000592244,-0.000839278
2016-09-15 00:00:00+00:00,0.000380605,0.004189365
2016-09-16 00:00:00+00:00,0.002014142,0.050540503
2016-09-17 00:00:00+00:00,0.001346751,0.016555364
2016-09-18 00:00:00+00:00,0.002028632,-0.011797227
2016-09-19 00:00:00+00:00,0.002771617,0.041075127
2016-09-20 00:00:00+00:00,0.006350079,0.100336527
2016-09-21 00:00:00+00:00,0.009762711,-0.05651221
2016-09-22 00:00:00+00:00,0.004067116,-0.040034998
2016-09-23 00:00:00+00:00,0.000556837,0.011282557
2016-09-24 00:00:00+00:00,0.001430635,-0.030374393
2016-09-25 00:00:00+00:00,0.00074514,0.011498785
2016-09-26 00:00:00+00:00,0.000919998,-0.021572485
2016-09-27 00:00:00+00:00,0.000736633,0.019283282
2016-09-28 00:00:00+00:00,0.000775368,0.017418085
2016-09-29 00:00:00+00:00,0.000626755,-0.015891367
2016-09-30 00:00:00+00:00,0.000486249,0.00911168
2016-10-01 00:00:00+00:00,0.000372535,-0.000756144
2016-10-02 00:00:00+00:00,0.000318513,0.00452831
2016-10-03 00:00:00+00:00,0.000353617,0.017171008
2016-10-04 00:00:00+00:00,0.001018951,-0.013413018
2016-10-05 00:00:00+00:00,0.000713928,-0.018168554
2016-10-06 00:00:00+00:00,0.000994951,-0.016949558
2016-10-07 00:00:00+00:00,0.001286694,-0.013297028
2016-10-08 00:00:00+00:00,0.002177783,-0.035260063
2016-10-09 00:00:00+00:00,0.000951718,-0.013136478
2016-10-10 00:00:00+00:00,0.001303554,-0.026802274
2016-10-11 00:00:00+00:00,0.002235881,-0.000849257
2016-10-12 00:00:00+00:00,0.000979145,0.01266374
2016-10-13 00:00:00+00:00,0.000963096,-0.004203453
2016-10-14 00:00:00+00:00,0.000538508,0.004203453
2016-10-15 00:00:00+00:00,0.000242213,0.002513617
2016-10-16 00:00:00+00:00,0.00018292,0
2016-10-17 00:00:00+00:00,0.000286851,0.00083647
2016-10-18 00:00:00+00:00,0.0018635,0.048152917
2016-10-19 00:00:00+00:00,0.00101432,-0.043981029
2016-10-20 00:00:00+00:00,0.00066975,0.004154555
2016-10-21 00:00:00+00:00,0.000307913,-0.000829531
2016-10-22 00:00:00+00:00,0.000236241,-0.00166113
2016-10-23 00:00:00+00:00,0.000210236,-0.007509422
2016-10-24 00:00:00+00:00,0.000157636,-0.001676446
2016-10-25 00:00:00+00:00,0.002514704,-0.050763587
2016-10-26 00:00:00+00:00,0.001332247,0.014023017
2016-10-27 00:00:00+00:00,0.001364252,-0.000870701
2016-10-28 00:00:00+00:00,0.001313634,-0.030962226
2016-10-29 00:00:00+00:00,0.008860055,-0.06113014
2016-10-30 00:00:00+00:00,0.00355473,0.066506497
2016-10-31 00:00:00+00:00,0.002026046,-0.019856248
2016-11-01 00:00:00+00:00,0.00472373,-0.011921278
2016-11-02 00:00:00+00:00,0.001861693,-0.001846723
2016-11-03 00:00:00+00:00,0.001428131,0.004610428
2016-11-04 00:00:00+00:00,0.001001933,0.025432797
2016-11-05 00:00:00+00:00,0.000476342,0.000896459
2016-11-06 00:00:00+00:00,0.000295184,-0.013532006
2016-11-07 00:00:00+00:00,0.000477536,-0.007292649
2016-11-08 00:00:00+00:00,0.000446704,-0.008268306
2016-11-09 00:00:00+00:00,0.003197364,-0.02050398
2016-11-10 00:00:00+00:00,0.000592789,-0.010411831
2016-11-11 00:00:00+00:00,0.00222528,-0.021154635
2016-11-12 00:00:00+00:00,0.002487138,-0.033599999
2016-11-13 00:00:00+00:00,0.002247152,0.018915447
2016-11-14 00:00:00+00:00,0.001592237,-0.012903405
2016-11-15 00:00:00+00:00,0.001435659,0.024668246
