,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-02-25,1.36E-05,1.04E-05,1.25E-05,1.27E-05,1.27E-05,0.004770348,9.53E-06,211.66,212.23,211.22,211.61
2015-02-26,1.86E-05,1.90E-05,2.05E-05,1.72E-05,1.91E-05,0.004948454,1.66E-05,211.52,211.7,210.655,211.4
2015-02-27,1.98E-05,1.78E-05,1.43E-05,1.34E-05,1.73E-05,0.004428925,1.45E-05,211.26,211.58,210.645,210.7
2015-03-02,1.15E-05,9.90E-06,9.25E-06,9.17E-06,1.09E-05,0.006339016,8.21E-06,210.78,212.06,210.72,212
2015-03-03,2.61E-05,3.11E-05,2.80E-05,2.54E-05,3.57E-05,0.007114767,2.22E-05,211.47,211.58,210.08,211.13
2015-03-04,4.19E-05,4.19E-05,4.92E-05,6.20E-05,7.91E-05,0.006816854,2.22E-05,210.4,210.49,209.06,210.23
2015-03-05,1.81E-05,1.59E-05,1.37E-05,1.24E-05,1.33E-05,0.004469175,1.51E-05,210.61,210.8,209.86,210.45
2015-03-06,6.42E-05,6.45E-05,5.92E-05,5.40E-05,5.09E-05,0.013620007,3.96E-05,209.42,209.94,207.1,207.49
2015-03-09,2.20E-05,2.26E-05,1.76E-05,1.53E-05,1.52E-05,0.005764258,1.61E-05,207.74,208.78,207.58,208.38
2015-03-10,0.000114498,0.000126994,9.67E-05,0.000119634,0.00013146,0.00893687,3.83E-05,206.71,206.81,204.97,204.98
2015-03-11,3.47E-05,3.21E-05,3.74E-05,3.18E-05,3.44E-05,0.005367176,3.00E-05,205.28,205.5,204.4,204.51
2015-03-12,3.45E-05,3.80E-05,5.24E-05,5.89E-05,7.41E-05,0.009505867,2.06E-05,205.26,207.17,205.21,207.11
2015-03-13,4.76E-05,5.92E-05,5.42E-05,6.09E-05,6.45E-05,0.011397035,5.49E-05,206.78,206.93,204.585,205.84
2015-03-16,4.66E-05,4.43E-05,3.81E-05,4.38E-05,4.73E-05,0.009630043,1.65E-05,206.71,208.685,206.685,208.65
2015-03-17,5.12E-05,4.95E-05,4.06E-05,3.54E-05,3.43E-05,0.006885123,2.26E-05,207.69,208.41,206.98,207.98
2015-03-18,7.34E-05,0.000113541,0.000114356,0.0001402,0.000185836,0.022208245,0.00013543,207.37,211.26,206.62,210.44
2015-03-19,3.03E-05,3.33E-05,3.24E-05,3.47E-05,3.21E-05,0.005914355,2.85E-05,209.97,210.28,209.04,209.48
2015-03-20,1.66E-05,1.76E-05,1.78E-05,1.91E-05,1.44E-05,0.006704254,1.59E-05,209.7,211.02,209.61,210.42
2015-03-23,1.36E-05,1.15E-05,1.50E-05,1.59E-05,1.94E-05,0.005176806,1.55E-05,210.42,211.1,210.01,210.03
2015-03-24,2.53E-05,2.85E-05,2.16E-05,2.38E-05,2.33E-05,0.007921022,2.29E-05,209.85,210.4,208.74,208.81
2015-03-25,4.08E-05,4.53E-05,4.96E-05,4.89E-05,6.02E-05,0.017540083,5.26E-05,209.07,209.35,205.71,205.75
2015-03-26,7.10E-05,8.79E-05,8.55E-05,6.83E-05,7.30E-05,0.01091416,5.77E-05,204.96,206.36,204.12,205.28
2015-03-27,3.32E-05,3.36E-05,3.75E-05,2.20E-05,1.76E-05,0.005111366,3.06E-05,205.14,205.95,204.9,205.72
2015-03-30,6.46E-05,7.73E-05,6.95E-05,9.00E-05,0.000102979,0.007820341,1.44E-05,206.98,208.605,206.98,208.26
2015-03-31,6.08E-05,5.82E-05,5.23E-05,4.21E-05,6.41E-05,0.008396517,2.96E-05,207.26,208.1,206.36,206.45
2015-04-01,6.15E-05,5.77E-05,5.81E-05,7.13E-05,7.85E-05,0.009150709,5.83E-05,206.39,206.39,204.51,205.76
2015-04-02,2.63E-05,3.35E-05,2.97E-05,3.49E-05,2.98E-05,0.007662873,3.16E-05,205.62,206.98,205.4,206.37
2015-04-06,5.05E-05,4.80E-05,3.49E-05,3.23E-05,2.49E-05,0.015665359,2.83E-05,205.38,208.45,205.21,207.84
2015-04-07,2.01E-05,1.81E-05,2.04E-05,2.05E-05,1.78E-05,0.007307725,2.25E-05,207.86,208.76,207.24,207.26
2015-04-08,4.56E-05,5.20E-05,6.10E-05,7.29E-05,4.78E-05,0.006833849,4.85E-05,207.55,208.5,207.08,207.99
2015-04-09,3.50E-05,3.36E-05,3.85E-05,3.00E-05,2.38E-05,0.009534747,3.27E-05,207.78,209.18,207.195,208.94
2015-04-10,1.47E-05,1.18E-05,9.55E-06,8.79E-06,7.32E-06,0.005345564,7.10E-06,209.19,210.08,208.96,210.04
2015-04-13,1.65E-05,1.65E-05,1.33E-05,1.42E-05,1.75E-05,0.007625257,1.51E-05,209.87,210.63,209.03,209.08
2015-04-14,2.44E-05,2.67E-05,2.92E-05,2.66E-05,2.20E-05,0.007611152,3.62E-05,208.85,209.7,208.11,209.48
2015-04-15,2.09E-05,2.81E-05,2.63E-05,3.60E-05,3.68E-05,0.005154589,1.25E-05,210.05,211.035,209.95,210.44
2015-04-16,2.18E-05,2.24E-05,1.81E-05,1.75E-05,1.45E-05,0.00558508,1.42E-05,210.04,210.97,209.795,210.36
2015-04-17,9.32E-05,9.57E-05,7.58E-05,7.18E-05,0.000106344,0.010667024,4.73E-05,208.94,209.23,207.01,207.93
