,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-03-03,0.00011644,8.80E-05,7.57E-05,9.32E-05,0.000110766,0.013458643,8.34E-05,105.86,106.22,104.8,105.1631
2015-03-04,0.000167475,0.000108824,5.89E-05,6.01E-05,6.50E-05,0.011424344,8.35E-05,105.43,105.64,104.44,105.1523
2015-03-05,9.27E-05,8.23E-05,7.32E-05,8.51E-05,9.82E-05,0.009349429,6.08E-05,105.01,105.31,104.33,104.76
2015-03-06,0.000158038,9.97E-05,9.70E-05,8.91E-05,6.22E-05,0.013144463,5.18E-05,104.22,104.53,103.165,103.55
2015-03-09,0.000109776,0.000108175,0.000156442,0.000118359,0.00022242,0.020323473,0.00014981,103.6,105.625,103.5,103.96
2015-03-10,0.000271562,0.000164799,0.000162538,0.000135716,0.000166929,0.020983209,0.000191569,103.79,104.5,102.3301,102.95
2015-03-11,0.00038778,9.82E-05,0.000112693,0.000119033,0.000138743,0.013767454,0.000105041,103.28,103.89,102.4695,103.6
2015-03-12,0.00013477,9.27E-05,0.000116568,0.00010716,0.000135746,0.021416145,5.63E-05,104.35,104.5145,102.3,102.3899
2015-03-13,0.000337108,0.000204603,0.000254059,0.0003469,0.00022814,0.011654453,0.000119951,101.68,101.84,100.66,101.63
2015-03-16,0.000134387,9.63E-05,0.000108697,9.16E-05,0.000143709,0.022226401,8.08E-05,101.44,103.27,101,103.1399
2015-03-17,0.000203537,0.000192711,0.000201454,9.57E-05,0.000117931,0.01398597,0.000102186,102.27,103.538,102.1,103.235
2015-03-18,0.000268315,0.000253543,0.000281528,0.000264113,0.000299754,0.043019442,0.000267472,102.605,106.87,102.37,106.69
2015-03-19,0.000333912,0.000319851,0.000383626,0.000322029,0.000301497,0.007141187,8.35E-05,105.105,105.4,104.65,104.79
2015-03-20,0.000360136,0.000155991,0.000153417,0.000212191,0.00020858,0.020153239,0.00011573,105.28,107.26,105.12,107.03
2015-03-23,0.000110734,9.20E-05,0.000111823,9.75E-05,0.000118601,0.016571693,8.81E-05,107.5,107.69,105.9201,105.93
2015-03-24,0.00021812,0.000143556,9.58E-05,0.000135929,0.000107342,0.019301764,9.44E-05,105.67,106.19,104.16,104.1801
2015-03-25,0.000189877,0.000186866,0.000194625,0.000154909,0.000166158,0.017669073,0.000118648,104.565,106.19,104.3302,105.661
