,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-02-02,0.001278481,0.000855593,0.000847951,0.000911881,0.00072373,0.041908729,0.000741872,40.794,42.39,40.6502,42.202
2015-02-03,0.000797038,0.000461392,0.000393172,0.000382227,0.000417597,0.042030975,0.000334324,42.6435,44.072,42.258,43.684
2015-02-04,0.000693605,0.000425821,0.000303737,0.000271599,0.000416884,0.021310446,0.000370542,43.658,44.29598,43.362,43.71998
2015-02-05,0.000764966,0.000826505,0.000414033,0.000467169,0.000364119,0.026250727,0.000314721,43.976,45.096,43.9276,44.182
2015-02-06,0.000460065,0.00031817,0.000324326,0.000308319,0.000188565,0.031373339,0.000279818,44.4,44.68,43.3,43.49
2015-02-09,0.000696827,0.000499744,0.000600715,0.000385146,0.00040204,0.026669029,0.000291327,43.078,43.54598,42.4,43.505
2015-02-10,0.000621757,0.000444614,0.000440702,0.000355626,0.000287861,0.025259667,0.000346719,43.528,44.1,43,43.256
2015-02-11,0.001083017,0.000869677,0.000771194,0.000811002,0.000858221,0.034192581,0.000472768,42.45,42.898,41.456,42.536
2015-02-12,0.009323659,0.006596665,0.007111685,0.007642726,0.005421519,0.050233424,0.001000265,38.75,40.61798,38.628,40.5702
2015-02-13,0.000600032,0.00047775,0.000498409,0.00039422,0.000352725,0.024970577,0.000271537,40.58,41.198,40.182,40.75798
2015-02-17,0.000968981,0.000349414,0.000225304,0.000226396,0.000148929,0.020579292,0.000217445,41.14,41.14,40.30202,40.88198
2015-02-18,0.000433866,0.000251219,0.000239475,0.000182507,0.00019142,0.017467479,0.000217116,40.836,41.234,40.52,40.86
2015-02-19,0.000452996,0.00034765,0.000301112,0.000275239,0.000272073,0.041765843,0.000330127,41,42.488,40.75,42.338
2015-02-20,0.000367826,0.000345299,0.000258435,0.000281461,0.000307018,0.036503342,0.00033461,42.156,43.52,41.96002,43.428
2015-02-23,0.000680537,0.000560974,0.000482407,0.000446865,0.000407805,0.055814502,0.000525651,43.132,43.636,41.2672,41.484
2015-02-24,0.000815476,0.000575072,0.000556317,0.000704315,0.000486591,0.027287261,0.000536034,41.324,41.458,40.34202,40.812
2015-02-25,0.000477314,0.000344949,0.00036897,0.000429626,0.000331542,0.022260023,0.000267544,41.0028,41.428,40.516,40.74
2015-02-26,0.000874427,0.000769871,0.001092805,0.001372991,0.000949151,0.042878919,0.001046644,40.804,42.218,40.446,41.43998
2015-02-27,0.000380195,0.000257042,0.000208742,0.000199003,0.000165562,0.02791713,0.000237015,41.3624,41.71,40.56168,40.662
2015-03-02,0.000717463,0.000522434,0.000729955,0.000606587,0.001030189,0.037658052,0.000626058,40.56,40.668,39.165,39.494
2015-03-03,0.000533681,0.000394787,0.000437894,0.000391159,0.00037198,0.024927347,0.000353591,39.384,40.05,39.064,39.919
2015-03-04,0.000587804,0.0004336,0.000425294,0.000297298,0.000156075,0.026520117,0.000292977,39.85,40.502,39.442,40.492
2015-03-05,0.000616752,0.000323755,0.000266373,0.000263339,0.000228609,0.029730988,0.000281081,40.565,41.238,40.03,40.12602
2015-03-06,0.000682358,0.000533867,0.000497247,0.00042527,0.000326248,0.043728519,0.000373222,39.84,40.14798,38.4302,38.77398
2015-03-09,0.000709122,0.000446714,0.00060538,0.000812852,0.000580669,0.032609881,0.000609255,38.863,38.898,37.65,38.176
