,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-02-09,0.000106966,7.18E-05,8.44E-05,8.43E-05,0.000101211,0.019584959,8.41E-05,101.06,101.06,99.1,99.77
2015-02-10,8.78E-05,7.50E-05,5.35E-05,6.61E-05,4.28E-05,0.012742209,4.76E-05,100.19,100.7,99.425,100.34
2015-02-11,9.85E-05,7.17E-05,6.67E-05,6.11E-05,5.31E-05,0.008169817,5.64E-05,100.46,100.78,99.96,100.3799
2015-02-12,0.000278294,0.000201489,0.00024647,0.00020639,0.000246575,0.034200015,0.000245076,100.5,100.53,97.15,98.4299
2015-02-13,8.53E-05,6.93E-05,7.89E-05,7.31E-05,6.44E-05,0.012823925,6.63E-05,98.44,99.67,98.4,99.5998
2015-02-17,8.27E-05,5.35E-05,4.32E-05,5.39E-05,7.44E-05,0.013627465,4.66E-05,99.39,100.48,99.12,100.355
2015-02-18,0.000115855,6.88E-05,6.46E-05,5.95E-05,6.66E-05,0.015575395,5.22E-05,100.935,100.94,99.38,99.94
2015-02-19,4.77E-05,4.02E-05,5.55E-05,6.08E-05,6.28E-05,0.012271537,6.24E-05,99.95,100.84,99.6101,100.74
2015-02-20,0.000115415,0.000133044,0.000121733,0.000187047,0.000210278,0.012632017,6.19E-05,100.1,100.3699,99.11,100.25
2015-02-23,0.000137252,4.27E-05,4.14E-05,3.51E-05,1.28E-05,0.009374757,4.69E-05,100.74,100.74,99.8,100.18
2015-02-24,5.68E-05,5.45E-05,7.25E-05,3.41E-05,5.06E-05,0.010395776,5.61E-05,100.23,101.045,100,100.71
2015-02-25,8.74E-05,4.66E-05,5.01E-05,5.27E-05,5.50E-05,0.011137926,4.85E-05,100.99,101.2899,100.168,101.18
2015-02-26,5.53E-05,6.32E-05,6.33E-05,4.98E-05,5.01E-05,0.01917867,4.80E-05,101.38,103.18,101.22,102.83
2015-02-27,6.69E-05,4.41E-05,3.68E-05,2.42E-05,1.58E-05,0.006613523,2.86E-05,103.04,103.16,102.48,102.55
2015-03-02,7.45E-05,5.72E-05,4.16E-05,3.26E-05,3.57E-05,0.008741314,3.47E-05,102.97,103.41,102.51,103.17
2015-03-03,9.61E-05,5.42E-05,5.68E-05,5.49E-05,6.33E-05,0.01259106,5.05E-05,103.1,103.1,101.81,102.32
2015-03-04,8.88E-05,7.32E-05,8.89E-05,0.000100672,0.00010736,0.009445171,4.99E-05,102.12,102.12,101.16,101.63
2015-03-05,8.00E-05,0.000122572,0.000143677,7.82E-05,0.000116729,0.011204872,7.44E-05,102.07,103.21,102.06,102.56
2015-03-06,0.000108618,9.19E-05,0.000111775,0.00013305,0.000142038,0.025210173,8.35E-05,102.1,102.43,99.88,100.07
2015-03-09,9.80E-05,8.15E-05,6.99E-05,5.50E-05,3.71E-05,0.011560822,4.48E-05,100.2,100.92,99.76,100.67
2015-03-10,0.000187864,0.000183533,0.000140175,0.000144863,0.000119437,0.009302393,6.73E-05,99.98,100.44,99.51,99.58
